address,name,stakedLQTY,heldLQTY,totalLQTY
0xe7a3c254596545ea0984d6e5cf208c7745406f1c,,21720.050000000000,0.009983575192933902000000000000000000,21720.059983575192933902000000000000000000
0xd505fce5cd73172f748a14fa7113696418362e97,,21061.565936161276,0.000000000000923414000000000000000000,21061.565936161276923414000000000000000000
0x69e627ac4eedbace4fa1fafbeec5539d124b3679,,20853.019439398623,0.000000000000000000000000000000000000,20853.019439398623000000000000000000000000
0x5ff910c34db2ae9eeee29cf6902197cbc7b6812d,,20700.292263042168,0.000000000000000000000000000000000000,20700.292263042168000000000000000000000000
0x4930d1e6976cc00177ed43bd98306c9c8a9468aa,,20404.992574200706,0.000000000000000000000000000000000000,20404.992574200706000000000000000000000000
0x30ca51c31a25a8a581903ca37647eee1c827602b,,,20273.6512129596204210,20273.6512129596204210
0x80870b156ff0a8508e22b879d4e157d1dfa028ab,,20057.716471043949,0.000000000000000000000000000000000000,20057.716471043949000000000000000000000000
0x0fd0489d5ccf0acc0ccbe8a1f1e638e74cab5bd7,,19840.119421351728,0.000000000000000000000000000000000000,19840.119421351728000000000000000000000000
0x48fe56b756ef2717d1db4050ef648ad4b72f55b9,,19759.132966880013,0.0000000000000001,19759.1329668800130001
0x1510f58db37fb92bdf7de436ce178f1fd9562afb,,,19441.5282455442964700,19441.5282455442964700
0xfb71f273284e52e6191b061052c298f10c2a6817,,19386.805018278751,-0.000000000000000065000000000000000000,19386.805018278750999935000000000000000000
0xef62586f8bdb5452ae80f3eb2ac577de3099e87f,,18792.098098208814,0.000000000000000000000000000000000000,18792.098098208814000000000000000000000000
0xc82ba482f09d4f6f4f510f908e53d536f3e78f0e,,18717.523840541811,-0.0000000000002461,18717.5238405418107539
0xf8c9cf133252a1a0b2c4b527381eaa94eaef62a6,,18612.448953355366,0.000000000000000000000000000000000000,18612.448953355366000000000000000000000000
0x3bae25674ae059c303fa677ea6817e05b915a8c1,,18074.873463335567,0.000000000000000000000000000000000000,18074.873463335567000000000000000000000000
0x6f3a86a0fd7aafa0b679d4dac8ea7dfccce383ab,,17712.221024032571,0.000000000000000000000000000000000000,17712.221024032571000000000000000000000000
0x3e615cc26272ca117a4b4296b7d96e6ade538fb2,,16891.404652912631,0.0000000000000001,16891.4046529126310001
0x34bf2e2339e0cdf3954820177125b1e60a79e36b,,16435.558057130372,0.000000000000000052000000000000000000,16435.558057130372000052000000000000000000
0x00337cf1993bf4d5872e95947c245c90d1020228,,15933.200000000000,0.002808959517801500000000000000000000,15933.202808959517801500000000000000000000
