endDate,TVL (ETH),TVL (USD)
2021-05-29T19:41:00+00:00,926390.432682754295297619000000000000000000,2093086543.603415
2021-05-29T20:31:00+00:00,926527.598912754295297619000000000000000000,2071511875.097158
2021-05-29T21:49:00+00:00,926535.544415497526607719000000000000000000,2092404485.3089623
2021-05-29T22:58:00+00:00,926184.390970358625773006000000000000000000,2101280837.0140011
2021-05-29T23:44:00+00:00,926183.290036450519884099000000000000000000,2133518779.596366
2021-05-30T00:54:00+00:00,926166.540023674999624099000000000000000000,2051162512.8596323
2021-05-30T01:59:00+00:00,926021.540063448723919799000000000000000000,2060573870.7337854
2021-05-30T02:43:00+00:00,926124.040063448723919799000000000000000000,2109080798.917293
2021-05-30T03:05:00+00:00,926138.040063448723919799000000000000000000,2109899898.731347
2021-05-30T04:58:00+00:00,926206.314785238339717204000000000000000000,2129839207.0380993
2021-05-30T05:52:00+00:00,926257.337610132350068704000000000000000000,2198212438.763118
2021-05-30T06:30:00+00:00,926272.479710132350068704000000000000000000,2228741264.3297377
2021-05-30T07:37:00+00:00,926402.279710132350068704000000000000000000,2262515231.6448684
2021-05-30T08:41:00+00:00,926401.757053453127070747000000000000000000,2253555650.1906595
2021-05-30T09:53:00+00:00,926558.557053453127070747000000000000000000,2247145406.079458
2021-05-30T10:59:00+00:00,927120.757053453127070747000000000000000000,2232061765.0213294
2021-05-30T11:59:00+00:00,927159.290133278525752396000000000000000000,2276630365.329364
2021-05-30T12:53:00+00:00,927162.544933278525752396000000000000000000,2214425750.693193
2021-05-30T13:56:00+00:00,927196.944933278525752396000000000000000000,2218448498.3251595
2021-05-30T14:44:00+00:00,927329.744933278525752396000000000000000000,2194720580.6310396
2021-05-30T15:58:00+00:00,927335.763133278525752396000000000000000000,2210731365.879211
2021-05-30T16:54:00+00:00,927794.426733278525752396000000000000000000,2223348008.335094
2021-05-30T17:44:00+00:00,927896.825333278525752396000000000000000000,2250845724.0522003
