hour,totalLusdPaid,totalLusdClaimed,totalEthPaid,totalEthClaimed
2021-11-30T13:00:00+00:00,20926496.953593728760344122000000000000000000,19120317.489719680216292314000000000000000000,971.440347990814514938000000,859.812968587440004414000000000000000000
2021-11-30T14:00:00+00:00,20927872.222063780586942822000000000000000000,19121157.613158282779561614000000000000000000,971.440347990814514938000000,859.822730270924056198000000000000000000
2021-11-30T15:00:00+00:00,20928635.108029802000568222000000000000000000,19121309.415879027281231614000000000000000000,971.440347990814514938000000,859.838893484952304297000000000000000000
2021-11-30T16:00:00+00:00,20928635.108029802000568222000000000000000000,19121660.570177376600234114000000000000000000,971.440347990814514938000000,859.878557501862360992000000000000000000
2021-11-30T17:00:00+00:00,20928635.108029802000568222000000000000000000,19124024.820212263516420414000000000000000000,971.440347990814514938000000,860.172335150499916610000000000000000000
2021-11-30T18:00:00+00:00,20930267.463384450236889222000000000000000000,19124024.930312920898913323000000000000000000,971.440347990814514938000000,860.172335150499916610000000000000000000
2021-11-30T19:00:00+00:00,20930777.243840447951420022000000000000000000,19124024.930312920898913323000000000000000000,971.440347990814514938000000,860.172335150499916610000000000000000000
2021-11-30T20:00:00+00:00,20932161.583960247029240422000000000000000000,19124198.924117462805245123000000000000000000,971.440347990814514938000000,860.172773248835495146000000000000000000
2021-11-30T21:00:00+00:00,20932670.154379274132593422000000000000000000,19139288.547564288740245123000000000000000000,971.440347990814514938000000,862.344332127891698146000000000000000000
2021-11-30T22:00:00+00:00,20932797.235142548543743422000000000000000000,19139288.547564288740245123000000000000000000,971.440347990814514938000000,862.344332127891698146000000000000000000
2021-11-30T23:00:00+00:00,20932972.599788634287553922000000000000000000,19139288.547564288740245123000000000000000000,971.440347990814514938000000,862.344332127891698146000000000000000000
2021-12-01T00:00:00+00:00,20932972.599788634287553922000000000000000000,19139546.362180119744079323000000000000000000,971.440347990814514938000000,862.364832320613730192000000000000000000
2021-12-01T01:00:00+00:00,20933859.882092747452768022000000000000000000,19139546.370867090646114489000000000000000000,971.440347990814514938000000,862.364832320613730192000000000000000000
2021-12-01T02:00:00+00:00,20933859.882092747452768022000000000000000000,19139546.370867090646114489000000000000000000,971.440347990814514938000000,862.364832320613730192000000000000000000
2021-12-01T03:00:00+00:00,20934452.161179774332383822000000000000000000,19139546.370867090646114489000000000000000000,971.440347990814514938000000,862.364832320613730192000000000000000000
2021-12-01T06:00:00+00:00,20934452.161179774332383822000000000000000000,19139546.370867090646114489000000000000000000,971.440347990814514938000000,862.364832320613730192000000000000000000
2021-12-01T07:00:00+00:00,20934588.440736541332076822000000000000000000,19139745.775515728481738589000000000000000000,971.440347990814514938000000,862.368810098784094160000000000000000000
2021-12-01T08:00:00+00:00,20935421.021122459257727422000000000000000000,19139745.775515728481738589000000000000000000,971.440347990814514938000000,862.368810098784094160000000000000000000
2021-12-01T09:00:00+00:00,20935421.021122459257727422000000000000000000,19143544.576788864714570289000000000000000000,971.440347990814514938000000,862.386804106647266925000000000000000000
2021-12-01T10:00:00+00:00,20935446.227565354771961322000000000000000000,19143851.237144829271865889000000000000000000,971.440347990814514938000000,862.389069391711986054000000000000000000
