evt_block_time,torn_balance,torn_price,tvl
2022-03-12T10:22:00+00:00,465697.600187290426333900000000000000000000,46.63,21715479.096733354
2022-03-12T10:36:00+00:00,465747.364487290426333900000000000000000000,46.57,21689854.764173117
2022-03-12T11:20:00+00:00,465771.667285418822807800000000000000000000,46.53,21672355.67879054
2022-03-12T11:41:00+00:00,465843.397767506682032200000000000000000000,46.35,21591841.486523934
2022-03-12T12:28:00+00:00,466026.233288596682032200000000000000000000,46.17,21516431.19093451
2022-03-12T13:34:00+00:00,466035.704628596682032200000000000000000000,45.61,21255888.488110293
2022-03-12T15:12:00+00:00,466028.704628596682032200000000000000000000,44.62,20794200.800527982
2022-03-12T15:14:00+00:00,467466.055125868465619800000000000000000000,44.62,20858335.37971625
2022-03-12T15:55:00+00:00,467490.054125868465619800000000000000000000,44.64,20868756.016178768
2022-03-12T16:44:00+00:00,467585.273733082652177200000000000000000000,45.34,21200316.31105797
2022-03-12T18:01:00+00:00,467605.273733082652177200000000000000000000,44.51,20813110.733859506
2022-03-12T18:48:00+00:00,467649.745286895366625100000000000000000000,44.46,20791707.67545537
2022-03-12T19:21:00+00:00,468339.368632335366625100000000000000000000,44.51,20845785.297825247
2022-03-12T21:57:00+00:00,468743.368632335366625100000000000000000000,44.8,20999702.914728623
2022-03-12T22:08:00+00:00,468723.368632335366625100000000000000000000,44.71,20956621.811551716
2022-03-13T04:26:00+00:00,468727.192943280535552000000000000000000000,43.19,20244327.463220287
2022-03-13T06:45:00+00:00,468843.576943280535552000000000000000000000,44.39,20811966.380512223
2022-03-13T08:18:00+00:00,468889.494743280535552000000000000000000000,43.95,20607693.29396718
2022-03-13T09:07:00+00:00,471913.897672530871513800000000000000000000,45.1,21283316.785031144
2022-03-13T09:23:00+00:00,476286.192372908945543500000000000000000000,45.74,21785330.439136855
2022-03-13T09:31:00+00:00,476296.972372908945543500000000000000000000,46.3,22052549.820865683
